SP01_080725.csv;;Schick;30.07.2025 16:06:23;GENESYS 10S UV-Vis;2L9S114206;4.005
nm;A
190;1,5017
191;1,3456
192;1,2006
193;1,0829
194;0,9895
195;0,9142
196;0,8652
197;0,8218
198;0,7751
199;0,7393
200;0,7105
201;0,6842
202;0,6614
203;0,6389
204;0,6169
205;0,5989
206;0,58
207;0,562
208;0,5463
209;0,5306
210;0,5164
211;0,5017
212;0,4899
213;0,4776
214;0,465
215;0,4528
216;0,4405
217;0,4299
218;0,4196
219;0,4089
220;0,3993
221;0,3908
222;0,3822
223;0,374
224;0,3667
225;0,3588
226;0,3513
227;0,3456
228;0,3398
229;0,3331
230;0,3272
231;0,32
232;0,3143
233;0,3095
234;0,3041
235;0,2995
236;0,2952
237;0,2909
238;0,2866
239;0,2828
240;0,2795
241;0,2768
242;0,2738
243;0,2702
244;0,2675
245;0,2654
246;0,2634
247;0,2613
248;0,259
249;0,2569
250;0,2548
251;0,2529
252;0,251
253;0,2489
254;0,2465
255;0,2444
256;0,2424
257;0,2403
258;0,2384
259;0,2368
260;0,2342
261;0,2319
262;0,2295
263;0,2266
264;0,2243
265;0,2217
266;0,2186
267;0,216
268;0,2129
269;0,2103
270;0,208
271;0,2053
272;0,2023
273;0,1994
274;0,1964
275;0,1935
276;0,1908
277;0,1877
278;0,1842
279;0,1813
280;0,1787
281;0,1758
282;0,1727
283;0,1698
284;0,1668
285;0,1641
286;0,1613
287;0,158
288;0,1549
289;0,1524
290;0,1491
291;0,1463
292;0,1438
293;0,1413
294;0,1387
295;0,1364
296;0,1342
297;0,1317
298;0,1295
299;0,1272
300;0,1252
301;0,1231
302;0,1205
303;0,1186
304;0,1167
305;0,1146
306;0,1128
307;0,1112
308;0,1093
309;0,1075
310;0,1061
311;0,1039
312;0,1025
313;0,1009
314;0,0994
315;0,098
316;0,0964
317;0,0949
318;0,0934
319;0,092
320;0,0903
321;0,0889
322;0,0874
323;0,0861
324;0,0848
325;0,0831
326;0,0817
327;0,0805
328;0,0792
329;0,0779
330;0,0768
331;0,0756
332;0,0745
333;0,0735
334;0,0723
335;0,0713
336;0,0703
337;0,069
338;0,0678
339;0,067
340;0,0657
341;0,0649
342;0,0639
343;0,0631
344;0,0623
345;0,0613
346;0,0604
347;0,0595
348;0,0585
349;0,0575
350;0,0567
351;0,056
352;0,0551
353;0,0543
354;0,0536
355;0,0526
356;0,0518
357;0,0512
358;0,0505
359;0,0496
360;0,0489
361;0,0483
362;0,0475
363;0,0469
364;0,0458
365;0,0451
366;0,0449
367;0,0438
368;0,0434
369;0,0429
370;0,0419
371;0,0416
372;0,0407
373;0,0399
374;0,0392
375;0,0389
376;0,0382
377;0,0377
378;0,0372
379;0,0364
380;0,0358
381;0,0353
382;0,0347
383;0,0342
384;0,0339
385;0,0331
386;0,0328
387;0,0321
388;0,0315
389;0,0314
390;0,0306
391;0,0303
392;0,0298
393;0,0292
394;0,029
395;0,0286
396;0,0278
397;0,0275
398;0,0271
399;0,0266
400;0,0263
401;0,0259
402;0,0254
403;0,0252
404;0,0248
405;0,0243
406;0,0241
407;0,0237
408;0,0233
409;0,023
410;0,0227
411;0,0221
412;0,0221
413;0,0214
414;0,0213
415;0,021
416;0,0207
417;0,0205
418;0,0201
419;0,0197
420;0,0195
421;0,0194
422;0,019
423;0,0189
424;0,0185
425;0,0183
426;0,0179
427;0,0177
428;0,0174
429;0,0172
430;0,0171
431;0,0165
432;0,0165
433;0,0162
434;0,0158
435;0,0156
436;0,0154
437;0,0154
438;0,0151
439;0,0148
440;0,0148
441;0,0146
442;0,0144
443;0,0139
444;0,0139
445;0,0137
446;0,0134
447;0,0135
448;0,0133
449;0,0132
450;0,0127
451;0,0125
452;0,0126
453;0,0124
454;0,0119
455;0,012
456;0,0121
457;0,0115
458;0,0116
459;0,0114
460;0,0113
461;0,0113
462;0,0113
463;0,0109
464;0,0109
465;0,0107
466;0,0105
467;0,0105
468;0,0104
469;0,01
470;0,01
471;0,01
472;0,0096
473;0,0098
474;0,0096
475;0,0095
476;0,0095
477;0,0093
478;0,0093
479;0,0092
480;0,0092
481;0,0088
482;0,0089
483;0,0081
484;0,0086
485;0,0085
486;0,0084
487;0,0085
488;0,0082
489;0,0083
490;0,0082
491;0,008
492;0,0078
493;0,0078
494;0,0079
495;0,0076
496;0,0076
497;0,0076
498;0,0072
499;0,0073
500;0,0071
501;0,0071
502;0,0071
503;0,0067
504;0,0068
505;0,0068
506;0,0069
507;0,0067
508;0,0065
509;0,0064
510;0,0066
511;0,0068
512;0,0065
513;0,0068
514;0,0065
515;0,0061
516;0,0058
517;0,0064
518;0,006
519;0,0061
520;0,0059
521;0,006
522;0,0061
523;0,0058
524;0,0058
525;0,0058
526;0,0058
527;0,0058
528;0,0058
529;0,0057
530;0,0054
531;0,0057
532;0,0055
533;0,0051
534;0,0055
535;0,005
536;0,0055
537;0,0049
538;0,0051
539;0,0053
540;0,0053
541;0,0049
542;0,005
543;0,0049
544;0,0048
545;0,0046
546;0,0044
547;0,0049
548;0,0047
549;0,0043
550;0,0044
551;0,0042
552;0,0044
553;0,0043
554;0,0044
555;0,0039
556;0,0045
557;0,0041
558;0,0043
559;0,0044
560;0,0039
561;0,0037
562;0,0042
563;0,0035
564;0,0041
565;0,0039
566;0,0035
567;0,0041
568;0,004
569;0,0038
570;0,0038
571;0,0034
572;0,0039
573;0,0036
574;0,0038
575;0,0039
576;0,0039
577;0,003
578;0,0034
579;0,0038
580;0,0032
581;0,0035
582;0,003
583;0,003
584;0,0032
585;0,0028
586;0,0031
587;0,0028
588;0,0031
589;0,0033
590;0,0033
591;0,0027
592;0,003
593;0,0031
594;0,0028
595;0,0031
596;0,003
597;0,0028
598;0,0031
599;0,0033
600;0,0032
601;0,0027
602;0,0026
603;0,0024
604;0,0032
605;0,0026
606;0,0027
607;0,0027
608;0,0028
609;0,0029
610;0,0024
611;0,0024
612;0,0033
613;0,0026
614;0,0027
615;0,0021
616;0,0024
617;0,0024
618;0,0021
619;0,0025
620;0,0024
621;0,0028
622;0,0022
623;0,0028
624;0,0025
625;0,0021
626;0,0028
627;0,0027
628;0,0027
629;0,0028
630;0,0028
631;0,0024
632;0,0025
633;0,0018
634;0,003
635;0,0023
636;0,0021
637;0,0024
638;0,0025
639;0,0029
640;0,0022
641;0,0022
642;0,0026
643;0,0021
644;0,0018
645;0,0025
646;0,0024
647;0,0021
648;0,0026
649;0,0015
650;0,0029
651;0,0023
652;0,0025
653;0,0027
654;0,0026
655;0,0019
656;0,0023
657;0,0019
658;0,0026
659;0,0027
660;0,0022
661;0,0028
662;0,0025
663;0,0023
664;0,0024
665;0,0012
666;0,0023
667;0,0026
668;0,0012
669;0,0016
670;0,003
671;0,0023
672;0,0029
673;0,0021
674;0,0024
675;0,0026
676;0,0024
677;0,0025
678;0,0026
679;0,0023
680;0,0023
681;0,0024
682;0,0018
683;0,0026
684;0,0023
685;0,0018
686;0,0017
687;0,0022
688;0,0023
689;0,0024
690;0,0025
691;0,0021
692;0,0019
693;0,002
694;0,0019
695;0,0023
696;0,0021
697;0,0022
698;0,0021
699;0,0018
700;0,0018
701;0,0022
702;0,0017
703;0,002
704;0,0015
705;0,0024
706;0,0013
707;0,0019
708;0,0015
709;0,0024
710;0,0026
711;0,0014
712;0,0017
713;0,0015
714;0,0011
715;0,002
716;0,0022
717;0,0015
718;0,0019
719;0,0013
720;0,0017
721;0,0026
722;0,0017
723;0,0023
724;0,002
725;0,0008
726;0,0022
727;0,0013
728;0,0016
729;0,0016
730;0,0012
731;0,0025
732;0,0022
733;0,0001
734;0,0018
735;0,0014
736;0,0014
737;0,0009
738;0,002
739;0,0012
740;0,0017
741;0,0012
742;0,0014
743;0,0016
744;0,0023
745;0,0025
746;0,0012
747;0,0014
748;0,0012
749;0,0013
750;0,0015
751;0,001
752;0,0013
753;0,0017
754;0,0013
755;0,0012
756;0,0014
757;0,0014
758;0,0015
759;0,001
760;0,002
761;0,0011
762;0,0016
763;0,0005
764;0,0016
765;0,0009
766;0,0017
767;0,0007
768;0,0008
769;0,0011
770;0,0005
771;0,0017
772;0,0006
773;0,0009
774;0,0007
775;0,0012
776;0,0011
777;0,0014
778;0,0005
779;0,0015
780;0,0012
781;0,001
782;0,001
783;0,0008
784;0,0013
785;0,0017
786;0,0021
787;0,0016
788;0,0017
789;0,0015
790;0,0018
791;0,0005
792;0,0015
793;0,0008
794;0,0009
795;0,0012
796;0,001
797;0,0004
798;0,0005
799;0,0013
800;0,0013
801;0,0018
802;0,0007
803;0,0009
804;0,0007
805;0,001
806;0,0016
807;0,0018
808;0,0006
809;0,0006
810;0,0019
811;0,0017
812;0,0008
813;0,0008
814;0,0011
815;0,0017
816;0,0018
817;0,0003
818;0,0016
819;0,0009
820;0,0016
821;0,0011
822;0,0014
823;0,0014
824;0,0015
825;0,001
826;0,0017
827;0,0011
828;0,0011
829;0,0013
830;0,0014
831;0,0006
832;0,001
833;0,0008
834;0,0015
835;0,0015
836;0,0009
837;0,001
838;0,0007
839;0,0002
840;0
841;0,0009
842;0
843;-0,0005
844;0,0014
845;0,0016
846;0,0014
847;0,0013
848;-0,0002
849;0,0006
850;0,0002
851;0,0009
852;0,0011
853;0,0019
854;0,0009
855;-0,0006
856;0,0007
857;0,0012
858;-0,0003
859;0,0011
860;-0,0007
861;-0,0002
862;0,0003
863;0,0002
864;0,0019
865;0,0005
866;0,0014
867;0,0011
868;-0,0001
869;0,0006
870;-0,0002
871;0,0011
872;0,0014
873;0,001
874;0,0012
875;0,0012
876;0,0014
877;0,0013
878;0,0011
879;0,0015
880;0,001
881;0,0014
882;0,0017
883;0,0015
884;0,0014
885;0,0015
886;0,0018
887;0,0015
888;0,0014
889;0,0013
890;0,0015
891;0,002
892;0,0013
893;0,0019
894;0,0021
895;0,0013
896;0,0012
897;0,0012
898;0,0018
899;0,0009
900;0,0006
901;0,0017
902;0,001
903;0,0014
904;0,0007
905;0,0012
906;0,0011
907;0,001
908;0,001
909;0,0014
910;0,0017
911;0,0011
912;0,0017
913;0,0013
914;0,0015
915;0,0012
916;0,0013
917;0,0014
918;0,0017
919;0,0021
920;0,0025
921;0,0018
922;0,0022
923;0,0019
924;0,0035
925;0,0033
926;0,0041
927;0,0027
928;0,0032
929;0,003
930;0,0028
931;0,0021
932;0,0022
933;0,0022
934;0,0032
935;0,0023
936;0,003
937;0,0018
938;0,0017
939;0,0022
940;0,0016
941;0,0026
942;0,002
943;0,0029
944;0,0032
945;0,0022
946;0,0022
947;0,0023
948;0,0022
949;0,0018
950;0,0022
951;0,0015
952;0,0019
953;0,0018
954;0,0018
955;0,0017
956;0,0022
957;0,0014
958;0,0013
959;0,0011
960;0,0011
961;0,0015
962;0,0023
963;0,0016
964;0,0017
965;0,0013
966;0,0007
967;0,0021
968;0,0013
969;0,0013
970;0,0015
971;0,001
972;0,001
973;0,0007
974;0,0013
975;0,0014
976;0,0011
977;0,0013
978;0,0015
979;0,0013
980;0,0012
981;0,0009
982;0,0013
983;0,0014
984;0,002
985;0,002
986;0,0027
987;0,0028
988;0,0021
989;0,0029
990;0,0023
991;0,0022
992;0,0015
993;0,0012
994;0,0013
995;0,0014
996;0,0023
997;0,0025
998;0,0028
999;0,0021
1000;0,0028
1001;0,0038
1002;0,0011
1003;0,0024
1004;0,0025
1005;0,0031
1006;0,0021
1007;0,0035
1008;0,0034
1009;0,003
1010;0,0025
1011;0,0021
1012;0,0026
1013;0,0022
1014;0,0029
1015;0,0029
1016;0,0031
1017;0,0036
1018;0,0036
1019;0,0037
1020;0,0033
1021;0,0034
1022;0,0049
1023;0,004
1024;0,0044
1025;0,003
1026;0,0043
1027;0,0034
1028;0,0049
1029;0,004
1030;0,0037
1031;0,0028
1032;0,0039
1033;0,0024
1034;0,0049
1035;0,0039
1036;0,0036
1037;0,0033
1038;0,0044
1039;0,0053
1040;0,004
1041;0,0037
1042;0,0047
1043;0,0046
1044;0,0055
1045;0,0039
1046;0,0041
1047;0,0045
1048;0,0031
1049;0,0044
1050;0,0025
1051;0,005
1052;0,0043
1053;0,0032
1054;0,004
1055;0,0068
1056;0,004
1057;0,0042
1058;0,0069
1059;0,0056
1060;0,0076
1061;0,0032
1062;0,0043
1063;0,005
1064;0,0066
1065;0,0051
1066;0,0057
1067;0,0089
1068;0,0056
1069;0,0043
1070;0,0062
1071;0,0091
1072;0,0063
1073;0,0069
1074;0,0092
1075;0,0076
1076;0,0077
1077;0,0022
1078;0,0082
1079;0,0076
1080;0,0106
1081;0,0014
1082;0,0085
1083;0,0089
1084;0,0046
1085;0,0044
1086;0,0075
1087;0,0072
1088;0,0056
1089;0,011
1090;0,0076
1091;0,0054
1092;0,0031
1093;0,0041
1094;0,0035
1095;0,0012
1096;0,0033
1097;0,0006
1098;0,0021
1099;0,0095
1100;0,0142
